,Name,AB,AVG,SLG,H,1B,2B,3B,HR,BB,HBP,SB,CS,Total_Bases,Runs_Created
0,Aaron Judge,570,0.311,0.686,177,87,28,0,62,111,6,16,3,391,167.3275109
31,Manny Machado,578,0.298,0.531,172,102,37,1,32,63,1,9,1,307,112.8535826
33,Nolan Arenado,557,0.293,0.533,163,90,42,1,30,52,7,5,3,297,107.0357143
4,Paul Goldschmidt,561,0.317,0.578,178,102,41,0,35,79,5,7,0,324,131.6093023
18,Freddie Freeman,612,0.325,0.511,199,129,47,2,21,84,5,13,3,313,128.5934379
3,Juan Soto,502,0.313,0.534,157,106,20,2,29,145,2,9,7,268,125.5346687
24,Trea Turner,595,0.328,0.536,195,130,34,3,28,41,6,32,5,319,120.2461059
162,Francisco Lindor,630,0.27,0.449,170,114,25,5,26,59,10,16,6,283,96.76251788
1,Bryce Harper,488,0.309,0.615,151,73,42,1,35,100,5,13,3,300,129.5109612
2,Yordan Alvarez,470,0.306,0.613,144,76,29,2,37,78,6,1,1,288,118.5270758
15,Jose Altuve,527,0.3,0.533,158,91,39,0,28,66,10,18,1,281,109.0447761
45,Mookie Betts,572,0.269,0.533,154,76,40,3,35,55,8,12,2,305,104.2283465
49,Jose Ramirez,552,0.266,0.538,147,74,32,5,36,72,7,27,4,297,106.3740095
104,J.T. Realmuto,504,0.276,0.478,139,86,26,5,22,41,12,21,1,241,83.07360862
182,Dansby Swanson,640,0.277,0.447,177,119,32,1,25,49,3,18,7,286,94.64450867
5,Vladimir Guerrero Jr.,604,0.311,0.601,188,110,29,1,48,86,6,4,1,363,146.0344828
40,Brandon Crawford,483,0.298,0.522,144,87,30,3,24,56,5,11,3,252,94.96323529
119,Trea Turner,652,0.298,0.466,194,130,39,4,21,45,3,27,3,304,105.0971429
63,Marcus Semien,652,0.265,0.538,173,87,39,2,45,66,3,15,1,351,117.8113731
84,Jose Ramirez,601,0.28,0.514,168,90,44,5,29,69,6,20,7,309,111.0754438
79,Carlos Correa,555,0.279,0.485,155,94,34,1,26,75,4,0,0,269,99.28391167
25,Bryan Reynolds,559,0.302,0.522,169,102,35,8,24,75,8,5,2,292,114.6168224
76,Andres Gimenez,491,0.297,0.466,146,100,26,3,17,34,25,20,3,229,85.35454545
83,Xander Bogaerts,557,0.307,0.456,171,118,38,0,15,57,10,8,2,254,96.87820513
50,Cedric Mullins II,602,0.291,0.518,175,103,37,5,30,59,8,30,8,312,112.8609865
71,Jeff McNeil,533,0.326,0.454,174,125,39,1,9,40,11,4,0,242,93.23630137
235,Nicky Lopez,497,0.3,0.378,149,120,21,6,2,49,4,22,1,188,69.04727273
28,Tyler O'Neill,482,0.286,0.56,138,76,26,2,34,38,13,15,4,270,95.74108818
323,Tommy Edman,577,0.265,0.4,153,105,31,4,13,46,5,32,3,231,75.03821656
23,Aaron Judge,550,0.287,0.544,158,95,24,0,39,75,3,6,1,299,112.3630573
41,Austin Riley,615,0.273,0.528,168,89,39,2,38,57,17,2,0,325,114.1509434
75,Starling Marte,467,0.31,0.458,145,103,27,3,12,43,13,47,5,214,82.24474187
93,Alex Bregman,548,0.259,0.454,142,81,38,0,23,87,11,1,2,249,92.50773994
109,Brandon Nimmo,580,0.274,0.433,159,106,30,7,16,71,16,3,2,251,92.57271364
97,Jose Altuve,601,0.278,0.489,167,103,32,1,31,66,4,5,3,294,103.8420268
39,Matt Olson,565,0.271,0.54,153,79,35,0,39,88,9,4,1,305,115.1812689
106,Bo Bichette,640,0.298,0.484,191,131,30,1,29,40,6,25,1,310,107.0991254
222,Sean Murphy,537,0.25,0.426,134,77,37,2,18,56,13,1,0,229,76.71122112
17,Shohei Ohtani,537,0.257,0.592,138,58,26,8,46,96,4,26,10,318,118.8131868
44,Paul Goldschmidt,603,0.294,0.514,177,108,36,2,31,67,4,12,0,310,114.0652819
48,Rafael Devers,555,0.295,0.521,164,94,42,1,27,50,6,3,1,289,104.0589198
81,Brandon Lowe,535,0.247,0.523,132,62,31,0,39,68,9,7,1,280,95.62091503
36,Freddie Freeman,600,0.3,0.503,180,122,25,2,31,85,8,8,3,302,118.969697
38,Max Muncy,497,0.249,0.527,124,60,26,2,36,83,11,2,1,262,96.642978
35,Austin Riley,590,0.303,0.531,179,112,33,1,33,52,12,0,1,313,116.2981651
132,Kyle Tucker,544,0.257,0.478,140,81,28,1,30,59,1,25,4,260,86.09271523
146,Tim Anderson,527,0.309,0.469,163,115,29,2,17,22,1,18,7,247,83.53090909
263,Willy Adames,563,0.238,0.458,134,72,31,0,31,49,1,8,3,258,77.44208809
30,Kyle Tucker,506,0.294,0.557,149,79,37,3,30,53,1,14,2,282,102.225
78,Will Smith,414,0.258,0.495,107,61,19,2,25,58,18,3,0,205,76.56122449
283,Daulton Varsho,531,0.235,0.443,125,72,23,3,27,46,7,16,6,235,71.62671233
133,Bo Bichette,652,0.29,0.469,189,121,43,1,24,41,2,13,8,306,102.1467626
193,J.T. Realmuto,476,0.263,0.439,125,79,25,4,17,48,11,13,3,209,71.88037383
223,Corey Seager,593,0.245,0.455,145,87,24,1,33,58,7,3,0,270,86.17021277
62,Xander Bogaerts,529,0.295,0.493,156,98,34,1,23,62,5,5,1,261,97.65604027
87,Carlos Correa,522,0.291,0.467,152,105,24,1,22,61,3,0,1,244,89.93856655
8,Ronald Acuna Jr.,297,0.283,0.596,84,40,19,1,24,49,9,17,6,177,70.8
60,Teoscar Hernandez,550,0.296,0.524,163,102,29,0,32,36,7,12,4,288,100.0472175
118,Manny Machado,564,0.278,0.489,157,96,31,2,28,63,2,12,3,276,97.41176471
47,Rafael Devers,591,0.279,0.538,165,89,37,1,38,62,7,5,5,318,112.7454545
92,Justin Turner,533,0.278,0.471,148,99,22,0,27,61,12,3,0,251,91.53630363
124,Jorge Polanco,588,0.269,0.503,158,88,35,2,33,45,5,11,6,296,96.5015674
112,George Springer,513,0.267,0.472,137,86,22,4,25,54,7,14,2,242,83.47735192
129,Joey Gallo,498,0.199,0.458,99,47,13,1,38,111,6,6,0,228,80.07804878
332,Francisco Lindor,452,0.23,0.412,104,65,16,3,20,58,5,10,4,186,60.31456311
328,Marcus Semien,657,0.248,0.429,163,101,31,5,26,53,4,25,8,282,86.8907563
6,Byron Buxton,235,0.306,0.647,72,30,23,0,19,13,6,9,1,152,54.45669291
189,Nolan Arenado,593,0.255,0.494,151,80,34,3,34,50,3,2,0,293,92.52631579
140,Christian Walker,583,0.242,0.477,141,78,25,2,36,69,8,2,2,278,91.82424242
